warehouse_id,total_fulfilled,total_revenue,stockout_count,transaction_count,stockout_rate,location,capacity,capacity_utilization,revenue_rank,efficiency_rank
W10,38706,19295588.76,80,1610,0.05,North,12679,305.3,1,4
W07,37833,19146685.48,78,1570,0.05,Central,9642,392.4,2,4
W06,37500,18984712.39,84,1538,0.055,South,12683,295.7,3,8
W09,36527,18923471.85,74,1509,0.049,West,16312,223.9,4,3
W04,37586,18766878.1,78,1526,0.051,East,14007,268.3,5,6
W08,36130,18179171.47,85,1492,0.057,North,18503,195.3,6,9
W05,35989,18001662.46,70,1460,0.048,East,17946,200.5,7,1
W02,36195,17731461.92,75,1451,0.052,Central,16259,222.6,8,7
W03,35977,17586402.89,69,1433,0.048,East,12996,276.8,9,1
W01,32716,16320702.8,83,1411,0.059,East,17740,184.4,10,10
